target,text
0,jurong point crazy available bugis great world buffet cine got amore wat
0,lar joking wif oni
1,free entry wkly comp win cup final tkts may text receive entry questionstd txt ratetcs apply overs
0,dun say early hor already say
0,nah dont think goes usf lives around though
1,freemsg hey darling weeks word back like fun still xxx std chgs send rcv
0,even brother like speak treat like aids patent
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
1,winner valued network customer selected receivea prize reward claim call claim code valid hours
1,mobile months entitled update latest colour mobiles camera free call mobile update free
0,gonna home soon dont want talk stuff anymore tonight ive cried enough today
1,six chances win cash pounds txt csh send cost pday days tsandcs apply reply info
1,urgent week free membership prize jackpot txt word claim wwwdbuknet lccltd pobox ldnwarw
0,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
0,date sunday
1,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
0,kim watching
0,remember spell name yes naughty make wet
0,fine thatåõs way feel thatåõs way gota
1,england macedonia dont miss goalsteam news txt national team england trywales scotland txtì¼ poboxoxwwq
0,seriously spell name
0,iûm going try months joking
0,pay first lar stock comin
0,aft finish lunch str lor ard smth lor finish lunch already
0,ffffffffff alright way meet sooner
0,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol
0,lol always convincing
0,catch bus frying egg make tea eating moms left dinner feel love
0,back amp packing car ill let know theres room
0,ahhh work vaguely remember feel like lol
0,wait thats still clear sure sarcastic thats doesnt want live
0,yeah got apologetic fallen actin like spoilt child got caught till wont badly cheers
0,tell anything
0,fear fainting housework quick cuppa
1,thanks subscription ringtone mobile charged åmonth please confirm replying yes reply charged
0,yup home look timings msg xuhui going learn may lesson
0,oops ill let know roommates done
0,see letter car
0,anything lor decide
0,hello hows saturday texting see youd decided anything tomo trying invite anything
0,pls ahead watts wanted sure great weekend abiola
0,forget tell want need crave love sweet arabian steed mmmmmm yummy
1,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
0,seeing
0,great hope like man well endowed ltgt inches
0,callsmessagesmissed calls
0,didnt get hep immunisation nigeria
0,fair enough anything going
0,yeah hopefully tyler cant could maybe ask around bit
0,dont know stubborn didnt even want hospital kept telling mark weak sucker hospitals weak suckers
0,thinked first time saw class
0,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt
0,fyi ride early tomorrow morning hes crashing place tonight
0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry didnt dont give sorry offered sorry room embarassing
1,sms sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
0,know mallika sherawat yesterday find lturlgt
1,congrats year special cinema pass call suprman matrix starwars etc free bxipwe dont miss
0,sorry ill call later meeting
0,tell reached
0,yesgauti sehwag odi series
0,gonna pick burger way home cant even move pain killing
0,good joke girls situation seekers
0,part checking
0,sorry roommates took forever come
0,lar double check wif hair dresser already said wun cut short said cut look nice
1,valued customer pleased advise following recent review mob awarded bonus prize call
0,today song dedicated day song dedicate send valuable frnds first rply
1,urgent awarded complimentary trip eurodisinc trav acoentry claim txt dis åmorefrmmob shracomorsglsuplt
1,hear new divorce barbie comes kens stuff
0,plane give month end
0,wah lucky man save money hee
0,finished class
0,babe home wanna something
0,kkwhere youhow performed
0,call
0,waiting machan call free
0,thats cool gentleman treat dignity respect
0,like peoples much shy
0,operate ltgt
0,still looking job much tas earn
0,sorry ill call later
0,call
0,way home
0,place man
0,yup next stop
0,call later dont network urgnt sms
0,real getting need tickets one jacket done already used multis
0,yes started send requests make pain came back back bed double coins factory gotta cash nitros
0,really still tonight babe
0,ela kanoil download come wen free
0,yeah donût stand close tho youûll catch something
0,sorry pain meet another night spent late afternoon casualty means havent done stuffmoro includes time sheets sorry
0,smile pleasure smile pain smile trouble pours like rain smile sum hurts smile becoz someone still loves see smiling
1,please call customer service representative ampm guaranteed cash prize
0,havent planning buy later check already lido got show afternoon finish work already
1,free ringtone waiting collected simply text password mix verify get usher britney fml
0,watching telugu moviewat abt
0,see finish loads loans pay
0,hols yes bit run forgot hairdressers appointment four need get home shower beforehand cause prob ham
0,please dont text anymore nothing else say
0,okay name price long legal wen pick ave ams
0,still looking car buy gone the driving test yet
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
0,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
0,umma life vava umma love lot dear
0,thanks lot wishes birthday thanks making birthday truly memorable
0,aight ill hit get cash
0,would address test considering computer isnt minecraft server
0,know grumpy old people mom like better lying always one play jokes
0,dont worry guess hes busy
0,plural noun research
0,going dinnermsg
0,wif cos like try new things scared dun like mah cos said loud
1,gent trying contact last weekends draw shows prize guaranteed call claim code valid hrs ppm
0,openin sentence formal anyway fine juz eatin much puttin weighthaha anythin special happened
0,entered cabin said happy bday boss felt special askd lunch lunch invited apartment went
1,winner specially selected receive holiday flights inc speak live operator claim pmin
0,goodo yes must speak friday eggpotato ratio tortilla needed
0,hmmmy uncle informed hes paying school directly pls buy food
1,private account statement shows unredeemed bonus points claim call identifier code expires
1,urgent mobile awarded bonus caller prize final try contact call landline boxwrc ppm
0,new address applespairsall malarky
1,todays voda numbers ending selected receive award match please call quoting claim code standard rates app
0,going sao today done
0,predict wat time ì_ll finish buying
0,good stuff
0,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
0,room
0,hey girl hope well del bak long time give call sum time lucyxx
0,kkhow much cost
0,home
0,dear call tmorrowpls accomodate
0,first answer question
1,sunshine quiz wkly win top sony dvd player know country algarve txt ansr sptyrone
1,want get laid tonight want real dogging locations sent direct mob join uks largest dogging network txting gravel eca pmsgp
0,haf msn yijuehotmailcom
0,call meet
0,check rooms befor activities
1,youll rcv msgs chat svc free hardcore services text get nothing must age verify network try
0,got lazy type forgot lect saw pouch like nice
0,text youre way
0,sir waiting mail
0,swt thought nver get tired little things lovable persons cozsomtimes little things occupy biggest part hearts gud
0,know pls open back
0,yes see dot
0,whats staff name taking class
1,freemsg havent replied text randy sexy female live local luv hear netcollex ltd per msg reply stop end
0,ummmawill call check inour life begin qatar pls pray hard
0,deleted contact
0,sindu got job birla soft
0,wine flowing nevering
0,yup thk cine better cos need plaza mah
0,typical reply
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots shows ill see guess like things must exist like rain hail mist time done become one
0,aaooooright work
0,leaving house
0,hello love get interview today happy good boy think meare missing
1,customer service annoncement new years delivery waiting please call arrange delivery
1,winner specially selected receive cash holiday flights inc speak live operator claim
0,keep safe need miss already envy everyone sees real life
0,new car house parentsi new job hand
0,love excited day spend make happy
1,pls stop bootydelious inviting friend reply yes see wwwsmsacubootydelious stop send stop frnd
1,bangbabes order way receive service msg download content goto wap bangb mobile internetservice menu
0,place points cultures module already
1,urgent trying contact last weekends draw shows prize guaranteed call claim code valid hrs
0,frnd best way avoid missunderstding wit beloved ones
0,great escape fancy bridge needs lager see tomo
0,yes completely formclark also utter waste
0,sir need axis bank account bank address
0,hmmm thk sure got time hop ard free abt muz call discuss liao
0,time coming later
0,bloody hell cant believe forgot surname ill give clue spanish begins
0,well gonna finish bath goodfine night
0,let know youve got money carlos make call
0,still going mall
0,turns friends staying whole show wont back til ltgt feel free ahead smoke ltgt worth
0,text doesnt reply let know log
0,spoke maneesha wed like know satisfied experience reply toll free yes
0,lifted hopes offer money need especially end month approaches hurts studying anyways weekend
0,lol trust
0,gentleman treat dignity respect
0,guys close
0,going nothing greatbye
0,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss
0,haha awesome minute
1,please call customer service representative freephone ampm guaranteed cash prize
0,got xmas radio times get
0,jus reached home bathe first sis using net tell finishes
1,unique enough find august wwwareyouuniquecouk
0,sorry ive joined league people dont keep touch mean great deal friend times even great personal cost great week
0,finally completed course
0,stop however suggest stays someone able give ors every stool
0,hope youve settled new school year wishin day
0,gud mrng dear hav nice day
0,got persons story
0,hamster dead hey tmr meet orchard mrt
0,kate evening hope see tomorrow bit bloody babyjontet txt back xxx
0,found enc ltgt
0,sent ltgt bucks
0,hello darlin ive finished college txt finish love kate xxx
0,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance ltdecimalgt transaction ltgt
0,goodmorning sleeping
0,call alter
0,say like dat dun buy ericsson oso cannot oredi lar
0,entered cabin said happy bday boss felt special askd lunch lunch invited apartment went
0,aight dats straight dogg
0,please give connection today ltdecimalgt refund bill
0,shoot big loads get ready
0,whats bruv hope great break rewarding semester
0,home always chat
0,kkgoodstudy well
0,yup noe leh
0,sounds great home
0,finally match heading towards draw prediction
0,tired havent slept well past nights
0,easy ahsen got selected means good
0,take exam march
0,yeah think use atm register sure theres anyway help let know sure ready
0,prob take time
0,called ubandu run without installing hard diskyou use copy important files system give repair shop
0,sorry ill call later
0,say leh course nothing happen lar say romantic jus bit lor thk nite scenery nice leh
1,new mobiles must txt nokia collect todayfrom wwwtcbiz optout gbpmtmsg
0,would really appreciate call need someone talk
1,meet dream partner soon career flyng start find free txt horo followed star sign horo aries
0,hey company elama mudyadhu
0,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
0,dear good morning
0,get gandhipuram walk cross cut road right side ltgt street road turn first right
0,dear going rubber place
0,sorry battery died yeah
0,yeshere always available work place
1,text meet someone sexy today find date even flirt join reply name age sam msg recdthirtyeight pence
0,printed ltgt come upstairs
0,ill little closer like bus stop street
0,youwhen wil reach
0,new theory argument wins situation loses person dont argue friends kick amp say always correct
1,secret admirer looking make contact ufind rreveal thinks specialcall
0,tomarrow final hearing laptop case cant
